Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,Florida,Willow Oak 9,Govt.,Public,2025,,Peter Jacobsen,$23M,,MHK Architecture,,,New,Drawing boards ,,,2023-12-21,26.1841028,-81.6929532,https://naplesnewsnow.com/arthrex-makes-a-plan-to-renovate-and-reopen-the-golden-gate-golf-course/,,,,,First Tee,,,
N America,USA,Georgia,Cypress Shoals,Once,Member,2025,,Tom Watson,,,,,,New,Drawing boards ,,,2023-06-14,33.5375164,-82.04204,https://fescue.github.io/Cypress-Shoals-North-Augusta/,,,,,,,EurekaEarthPlus/status/1638850148447973376,1700 acres
N America,USA,Georgia,McLemore The Keep,Once,Member,2024,,Bill Bergin,,,,,,New,Construction,,Rees Jones,2023-10-02,34.740887,-85.4477889,https://www.themclemore.com/golf/the-keep-at-mclemore,omepuFRVnTM,,,,was Canyon Ridge,Super Moose Shaping,feedtheball/status/1605594754443579392,Feed The Ball
N America,USA,Georgia,Fall Line,Once,Member,2024,,Oglivy Cocking Mead,,,Heritage Links,,,New,Construction,,,2023-06-10,32.572332,-82.274074,https://fescue.github.io/Fall-Line-Golf/,,,,,Bert Guy,,,
N America,USA,Georgia,Reynolds Lake Oconee,Once,Member,2024,,Tom Fazio,,,,ETA Nov 2024,,New,Construction,,,2023-10-13,33.4403038,-83.2615113,https://www.reynoldslakeoconee.com/seventh-course,,,,,New 9,,,
N America,USA,Georgia,Warmouth Sands,Govt.,Public,2024,,Mike Young,,,,,,New,Construction,,,2023-06-21,32.2118175,-82.4162603,https://fescue.github.io/Warmouth-Sands/,,warmouthsandsgolf,warmouthsandsgolf,,,,blazergator/status/1642989403411972096,Vidalia Muni
N America,USA,Hawaii,Ouli Farms,Once,Member,2026,,TBA,,,,,,New,Drawing boards ,,,2023-06-21,20.020763,-156.0163622,https://fescue.github.io/Ouli-Farms/,,oulifarms,OuliFarms,,840 acres,,,
N America,USA,Louisiana,Estate Course,Once,Member,2023,,Jackson Kahn,,,,,,New,Open,,,2023-12-23,30.6272105,-92.532514,https://fescue.github.io/Jackson-Kahn-Louisiana/,,jkdgolfdesign,11 greens,,,,,
N America,USA,Maryland,Greenbury Point,Holiday,Public,2028,,Jack Nicklaus,,,,,,New,Drawing boards ,,,2023-06-21,38.984199,-76.4518473,https://fescue.github.io/Greenbury-Point-Golf/,,,,,,,,
N America,USA,Michigan,Kalamazoo Lakeside,Once,Member,2025,,Andrew Green,,,,,,New,Drawing boards ,,,2023-12-17,42.2603784,-85.6090743,https://www.golfclubatlas.com/forum/index.php?topic=71874.0,,,,,New 9,,,
N America,USA,Minnesota,Tepetonka,Holiday,Public,2025,,Oglivy Cocking Mead,$21M,,Duininck,,,New,Construction,,,2023-05-23,44.3019898,-93.612597,https://www.tepetonka.com,Bq7Ng3wQZ4k,,,,Ashley Mead,Mark Haugejorde,golfweek/status/1660999061413953536,Jim Nantz
