Region,Country,Location,Course,i100,Architect,Construction,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,BackTee,Budget,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL
GB&I,England,Kent,Princes Himalayas,Short,Mackenzie Ebert,,Renovation,Open,Campbell Morrison,2020-05-02,51.2956354,1.3686571,https://www.princesgolfclub.co.uk/,,princesgolfclub,princesgolfclub,,,,Himalayas 9,,RobGolfBeer/status/1308661268321128448,New 9 Holes,,
GB&I,England,Kent,Royal Cinque Ports,100,Mackenzie Ebert,,Renovation,Open,Braid Campbell,2020-09-22,51.2395102,1.3942074,https://www.royalcinqueports.com/royal_association,TSEP46Pdk_E,rcpgolfclub,rcpgolfclub,,,,,Spring 2020,,,,
GB&I,England,Lincolnshire,Woodhall Spa,100,Tom Doak,,Renovation,Open,Vardon Colt Hotchkin,2020-05-02,53.1555127,-0.2077424,https://www.woodhallspagolf.com/hotchkin_course,zE4lfHKuNfg,woodhallspagolfshop,woodhallspagolfshop,,,,,Hole 17,,,,
GB&I,England,Southport,Southport Ainsdale,,Marc Westenborg,,Renovation,Open,,2023-08-02,53.6054391,-3.037017,https://www.sandagolfclub.co.uk/,,,,,,,,,SandAGolfClub/status/1267092844168253440,Redesigned 1st hole,,
GB&I,Ireland,Dublin,The Island,100,Mackenzie Ebert,,Renovation,Open,F Hawtree Hackett,2020-09-23,53.4634539,-6.1360027,https://www.theislandgolfclub.ie/,kS3l6kXaRFk,theislandgolfclub,theislandgolfclub,,,,,New Tees,kevinmarkham/status/1292030536555298816,New Par 3 Hole,,
L America,Mexico,Cabo,Cabo del Sol Cove,100,Nicklaus Design,,Renovation,Open,JWN,2020-05-07,22.9152794,-109.8441904,https://www.cabodelsol.com/,,cabodelsolgolfclub,cabodelsolgolfclub,,,,Ocean Course,,,,,
N America,Canada,Alberta,Crowsnest,,Browning,,Renovation,Open,,2021-01-08,,,,,,,,,,,,,,,
N America,USA,Alabama,CC Birmingham East,,LaFoy,,Renovation,Open ,Ross Cobb LaFoy,2020-05-02,33.4961874,-86.7693896,,,countryclubofbirmingham,countryclubofbirmingham,,,,,,,,,
N America,USA,Arizona,Desert Highlands ,,Nicklaus Design,,Renovation,Open ,JWN,2020-05-02,33.7161229,-111.8689393,https://www.deserthighlandsscottsdale.com/,sVboBNh5yIQ,,,,,,,Regrassing,,,,
N America,USA,California,Barona Creek ,,Todd Eckenrode,,Renovation,Open ,,2020-07-16,32.9397337,-116.8760359,https://www.barona.com/resort/golf/,eXweFdhODdk,,,,,,Phase I,2010,gcamagazine/status/1159811723228041218,Par 3,,
